,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,X,N,N,N,N,N,N,N,N,-1.0,0.3884446705141272,0.686688262397581,0.6123616061835551,0.8685684312145441,0.5614165922599562,0.5864979024908538,0.7292009796176318,0.6471385940347151,46464
1,X,X,N,O,N,N,N,N,N,-1.0,-1.0,0.8748460235830782,-1.0,0.17578502626584894,0.08338903462443259,0.1701841843988416,0.09620812166900321,0.31570428136902645,2213
2,N,N,N,N,N,N,N,X,N,0.583287626158004,0.6020604790596296,0.8549017219620673,0.5802172716230356,0.9296679597956972,0.6404019749453195,0.7522142468665737,-1.0,0.7755214273111516,24870
3,X,N,N,N,O,N,N,X,N,-1.0,0.8360309950339245,0.8734436727374499,0.8404048805539863,-1.0,0.8635045419581162,0.853691357305472,-1.0,0.8652478193496126,1443
4,X,N,N,O,O,N,N,X,X,-1.0,0.0,0.0,-1.0,-1.0,1.0,0.8517475002940937,-1.0,-1.0,285
5,X,O,N,O,O,X,N,X,X,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,213
6,X,N,N,O,N,N,N,X,N,-1.0,0.86477308434905,0.861569250117137,-1.0,0.8860613495653286,0.8864685374173351,0.8313900351026822,-1.0,0.8556064080515455,1574
7,X,X,N,O,O,N,N,X,N,-1.0,-1.0,0.8964429785755014,-1.0,-1.0,1.0,0.16819719751707754,-1.0,0.09428905437485957,136
8,X,X,O,O,O,N,N,X,X,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,313
9,N,N,N,N,N,N,N,N,X,0.5411410734092262,0.6131167774571954,0.6707017889658774,0.6498979360524773,0.8292968799196613,0.6645106115599627,0.6319147358623805,0.7981988625979956,-1.0,53409
10,N,N,N,X,N,N,O,N,X,0.870485571666644,0.865659457368718,0.8404108669154632,-1.0,0.8680368469571609,0.863682786208636,-1.0,0.8436370847922036,-1.0,1322
11,O,N,N,X,N,N,O,X,X,-1.0,0.9023936068262408,0.9024007054792588,-1.0,0.9259973620690057,0.9067019371685028,-1.0,-1.0,-1.0,470
